anger,fear,joy,sadness,analytical,confident,tentative,negative,positive,rotx,roty,rotz,width,length,height,hue,lightness,opacity,gloss
1,0,0,1,0,0,1,0,0,108,309,359,46,71,85,157,65,14,0
0,1,0,0,1,0,0,1,0,213,223,150,11,31,52,229,100,38,0
0,0,1,0,0,1,0,0,1,228,342,309,73,50,88,18,73,29,1
1,0,0,1,0,0,1,0,0,105,187,66,48,84,35,170,85,84,1
0,1,0,0,1,0,0,1,0,26,84,311,42,64,61,121,59,0,0
0,0,1,0,0,1,0,0,1,108,130,62,94,44,15,34,87,49,1
1,0,0,1,0,0,1,0,0,166,292,107,69,7,95,57,75,48,0
0,1,0,0,1,0,0,1,0,15,165,172,66,5,85,132,74,2,0
0,0,1,0,0,1,0,0,1,347,292,302,76,72,72,146,71,62,1
1,0,0,1,0,0,1,0,0,331,10,193,3,46,63,152,71,77,0
0,1,0,0,1,0,0,1,0,341,48,95,45,19,30,116,60,6,1
0,0,1,0,0,1,0,0,1,183,7,192,15,0,15,87,83,19,1
1,0,0,1,0,0,1,0,0,42,258,268,80,16,28,160,91,16,1
0,1,0,0,1,0,0,1,0,276,194,74,72,6,53,195,76,27,1
0,0,1,0,0,1,0,0,1,261,276,317,62,60,17,170,62,84,0
1,0,0,1,0,0,1,0,0,316,207,14,64,85,17,114,81,36,1
0,1,0,0,1,0,0,1,0,346,154,15,72,88,17,206,96,53,0
0,0,1,0,0,1,0,0,1,85,138,328,0,7,96,7,63,69,1
1,0,0,1,0,0,1,0,0,90,235,69,33,56,55,109,94,35,1
0,1,0,0,1,0,0,1,0,172,303,55,11,46,95,115,51,48,1
0,0,1,0,0,1,0,0,1,33,181,8,82,59,23,182,80,43,1
1,0,0,1,0,0,1,0,0,203,71,12,14,89,87,67,89,18,0
0,1,0,0,1,0,0,1,0,348,210,184,61,65,64,84,75,66,0
0,0,1,0,0,1,0,0,1,67,103,225,24,56,89,76,92,83,1
1,0,0,1,0,0,1,0,0,108,234,144,85,11,0,22,62,27,0
0,1,0,0,1,0,0,1,0,304,348,129,96,21,3,176,65,81,0
0,0,1,0,0,1,0,0,1,96,120,188,17,66,21,51,83,60,0
1,0,0,1,0,0,1,0,0,220,280,256,25,64,53,67,63,85,0
0,1,0,0,1,0,0,1,0,338,166,276,4,10,20,211,95,58,0
0,0,1,0,0,1,0,0,1,123,7,154,27,92,71,224,85,71,1
1,0,0,1,0,0,1,0,0,118,299,33,15,4,62,55,82,35,1
0,1,0,0,1,0,0,1,0,61,169,305,52,57,81,59,64,46,0
0,0,1,0,0,1,0,0,1,208,280,281,28,95,82,182,60,37,0
1,0,0,1,0,0,1,0,0,287,136,17,50,61,72,62,96,45,1
0,1,0,0,1,0,0,1,0,159,144,145,18,0,13,210,61,60,0
0,0,1,0,0,1,0,0,1,168,55,212,25,1,6,221,90,42,0
1,0,0,1,0,0,1,0,0,50,75,319,53,91,33,247,74,11,1
0,1,0,0,1,0,0,1,0,237,358,40,77,51,82,73,63,23,0
0,0,1,0,0,1,0,0,1,24,328,89,61,12,51,203,87,78,1
1,0,0,1,0,0,1,0,0,338,228,331,29,5,76,186,51,42,0
0,1,0,0,1,0,0,1,0,205,149,25,30,76,52,251,67,79,0
0,0,1,0,0,1,0,0,1,79,270,30,78,41,67,164,51,10,0
1,0,0,1,0,0,1,0,0,50,156,7,0,60,58,128,70,19,1
0,1,0,0,1,0,0,1,0,123,268,256,34,22,71,25,54,0,1
0,0,1,0,0,1,0,0,1,133,211,340,13,25,91,24,63,41,0
1,0,0,1,0,0,1,0,0,78,308,219,98,57,66,70,96,36,0
0,1,0,0,1,0,0,1,0,187,25,299,92,26,68,147,71,91,0
0,0,1,0,0,1,0,0,1,199,334,21,31,59,59,14,81,28,1
1,0,0,1,0,0,1,0,0,332,8,335,40,97,45,101,91,67,1
0,1,0,0,1,0,0,1,0,241,138,44,95,9,4,61,83,55,1
0,0,1,0,0,1,0,0,1,245,276,227,8,21,51,213,62,37,1
